Wavelength,sCone,mCone,lCone,rod,mel
650,0,0.004813916,0.103590371,0.000677,0.000108503
651,0,0.004484734,0.098021543,0.000626,0.000100503
652,0,0.004171956,0.092677786,0.000579,0.0000931221
653,0,0.003876389,0.08756901,0.000536,0.0000863085
654,0,0.003598069,0.082688657,0.000496,0.0000800075
655,0,0.003337153,0.078044316,0.000459,0.0000741762
656,0,0.00309348,0.073628799,0.000425,0.0000687756
657,0,0.002866112,0.069431612,0.0003935,0.0000637721
658,0,0.002654326,0.065445769,0.0003645,0.0000591361
659,0,0.002457483,0.061659967,0.0003377,0.000054843
660,0,0.002274586,0.058067593,0.0003129,0.0000508668
661,0,0.002104747,0.05465188,0.0002901,0.0000471785
662,0,0.00194784,0.051417235,0.0002689,0.0000437672
663,0,0.001803278,0.048354418,0.0002493,0.0000406115
664,0,0.001670354,0.045453672,0.0002313,0.0000376915
665,0,0.001548426,0.04270791,0.0002146,0.0000349891
666,0,0.00143671,0.040108419,0.0001991,0.0000324875
667,0,0.001334028,0.037649705,0.0001848,0.0000301713
668,0,0.001239332,0.035324622,0.0001716,0.0000280263
669,0,0.001151669,0.033126414,0.0001593,0.0000260394
670,0,0.001070225,0.031050106,0.000148,0.0000241985
671,0,0.000994421,0.029088717,0.0001375,0.0000224926
672,0,0.000923791,0.027237024,0.0001277,0.0000209115
673,0,0.000858054,0.025489959,0.0001187,0.0000194456
674,0,0.000796863,0.023841518,0.0001104,0.0000180863
675,0,0.00073993,0.022287155,0.0001026,0.0000168256
676,0,0.000686998,0.020821505,0.0000954,0.0000156561
677,0,0.000637762,0.019441815,0.0000888,0.000014571
678,0,0.000591985,0.018143845,0.0000826,0.0000135638
679,0,0.000549415,0.016924279,0.0000769,0.000012629
680,0,0.000509845,0.015779379,0.0000715,0.000011761
681,0,0.000473048,0.014705474,0.0000666,0.0000109549
682,0,0.000438783,0.013696777,0.000062,0.0000102062
683,0,0.000406831,0.012747902,0.0000578,0.00000951065
684,0,0.000377013,0.011854428,0.0000538,0.0000088643
685,0,0.000349146,0.011012466,0.0000501,0.00000826356
686,0,0.000323107,0.010219299,0.0000467,0.0000077051
687,0,0.000298885,0.009476543,0.0000436,0.00000718584
688,0,0.000276485,0.008785995,0.0000406,0.00000670293
689,0,0.000255862,0.008147495,0.00003789,0.00000625374
690,0,0.000236968,0.007560832,0.00003533,0.00000583581
